provincia,indicativo,nombre,latitud,longitud,altitud
AVILA,2444,ÁVILA,403933N,044047W,1130
AVILA,2444C,"ÁVILA, AYUNTAMIENTO",403924N,044201W,1143
AVILA,2453E,GOTARRENDURA,404944N,044431W,920
AVILA,2456B,AREVALO,410417N,044348W,820
MADRID,2462,PUERTO DE NAVACERRADA,404735N,040038W,1893
SEGOVIA,2471Y,SAN RAFAEL,404307N,041243W,1237
SEGOVIA,2465A,"SEGOVIA, INSTITUTO",405648N,040657W,990
SEGOVIA,2465,SEGOVIA,405643N,040735W,1008
SEGOVIA,2482B,MIGUELAÑEZ,410735N,042233W,870
VALLADOLID,2503B,"OLMEDO, DEPÓSITO DE AGUA",411648N,044131W,786
SALAMANCA,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",402118N,054124W,1960
VALLADOLID,2503X,OLMEDO,411933N,044113W,740
VALLADOLID,2517A,FUENTE EL SOL,411022N,045623W,755
VALLADOLID,2507Y,RUEDA,412510N,045749W,724
AVILA,2512Y,RIVILLA DE BARAJAS,405256N,050107W,925
VALLADOLID,2539,VALLADOLID AEROPUERTO,414243N,045120W,846
ZAMORA,2536D,MORALES DEL TORO,413254N,051617W,710
ZAMORA,2565,CORESES,413319N,053750W,702
ZAMORA,2555B,FUENTESAUCO,411412N,052853W,811
PALENCIA,2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN ",423125N,045104W,985
ZAMORA,2611D,VILLAFÁFILA,415123N,053533W,690
VALLADOLID,2593D,VILLALÓN DE CAMPOS,420539N,050228W,782
VALLADOLID,2604B,MEDINA DE RIOSECO,415233N,050225W,731
LEON,2626Y,CUBILLAS DE RUEDA,423712N,051136W,916
LEON,2624C,RIAÑO,425730N,050027W,1090
ZAMORA,2614,ZAMORA,413056N,054407W,656
LEON,2661,"LEÓN, VIRGEN DEL CAMINO",423518N,053904W,916
LEON,2630X,PUERTO DE SAN ISIDRO,430344N,052237W,1510
LEON,2661B,LEÓN AEROPUERTO,423558N,053837W,912
LEON,2664B,VALENCIA DE DON JUAN,421745N,053017W,788
LEON,2701D,"BARRIOS DE LUNA, MIÑERA",425308N,055215W,1120
LEON,2734D,ASTORGA,422836N,060428W,919
LEON,2728B,"QUINTANA DEL CASTILLO, VILLAMECA",423854N,060415W,995
LEON,2742R,BUSTILLO DEL PÁRAMO,422759N,054647W,850
ZAMORA,2755X,BENAVENTE,420039N,054000W,715
LEON,2737E,LAGUNAS DE SOMOZA,422239N,061148W,1020
ZAMORA,2766E,"SANABRIA, ROBLEDA-CERVANTES",420457N,063823W,933
ZAMORA,2777K,SANTIBAÑEZ DE VIDRIALES,420441N,060026W,737
ZAMORA,2775X,VILLARDECIERVOS,415629N,061647W,850
ZAMORA,2789H,POZUELO DE TABARA,414708N,055432W,711
AVILA,2811A,NAVARREDONDA DE GREDOS,402102N,050835W,1525
ZAMORA,2804F,VILLADEPERA,413202N,060831W,790
SALAMANCA,2863C,PEDRAZA DE ALBA  ,404356N,052158W,897
SALAMANCA,2847X,PEDROSILLO DE LOS AIRES   ,404032N,053836W,865
AVILA,2828Y,BARCO DE AVILA,402119N,053109W,1012
SALAMANCA,2870,SALAMANCA,405727N,053944W,775
SALAMANCA,2873X,BARBADILLO,405413N,054647W,817
SALAMANCA,2867,SALAMANCA AEROPUERTO,405734N,052954W,790
SALAMANCA,2891A,VILLARINO DE LOS AIRES,411546N,062744W,690
SALAMANCA,2914C,BOADILLA FUENTE SAN ESTEBAN,404710N,061210W,785
ZAMORA,2885K,FRESNO DE SAYAGO,411816N,060120W,804
ZAMORA,2882D,PEÑAUSENDE,411420N,055351W,1003
SALAMANCA,2926B,BAÑOBÁREZ,405105N,063632W,748
SALAMANCA,2918Y,EL MAÍLLO,403410N,061325W,1027
SALAMANCA,2916A,VITIGUDINO,410041N,062616W,769
SALAMANCA,2930Y,NAVASFRÍAS,401748N,064846W,880
SALAMANCA,2945A,EL BODÓN BASE AÉREA,402906N,063437W,805
SALAMANCA,2946X,SAELICES EL CHICO,403806N,063600W,680
ZAMORA,2966D,ALCAÑICES  ,414100N,061805W,840
OURENSE,2978X,VERÍN,415536N,072519W,380
OURENSE,2969U,A GUDIÑA,420138N,071059W,910
GUADALAJARA,3021Y,ZAOREJAS,404530N,021159W,1250
GUADALAJARA,3013,MOLINA DE ARAGÓN,405030N,015244W,1062
CUENCA,3040Y,BETETA,403418N,020435W,1214
CUENCA,3044X,CAÑIZARES,403149N,020900W,928
TOLEDO,3099Y,OCAÑA,395607N,032946W,733
GUADALAJARA,3085Y,PASTRANA,402428N,025711W,920
CUENCA,3094B,TARANCÓN,400043N,030117W,819
MADRID,3100B,ARANJUEZ,400402N,033246W,540
GUADALAJARA,3103,PANTANO EL VADO,410013N,031807W,910
MADRID,3111D,SOMOSIERRA,410808N,033450W,1450
MADRID,3125Y,SAN SEBASTIÁN DE LOS REYES,403260N,033700W,672
MADRID,3104Y,RASCAFRÍA,405323N,035318W,1159
MADRID,3110C,BUITRAGO DEL LOZOYA,410025N,033650W,1030
MADRID,3129,MADRID AEROPUERTO,402800N,033320W,609
MADRID,3126Y,"MADRID, EL GOLOSO",403341N,034243W,740
GUADALAJARA,3168A,"GUADALAJARA, INSTITUTO",403805N,031000W,685
GUADALAJARA,3130C,SIGÜENZA,410511N,023705W,1005
GUADALAJARA,3140Y,MANDAYONA,405906N,024536W,990
GUADALAJARA,3168D,GUADALAJARA,403749N,030901W,727
GUADALAJARA,3168C,"GUADALAJARA, EL SERRANILLO",403933N,031024W,639
MADRID,3170Y,ALCALA DE HENARES,403142N,031723W,605
MADRID,3182Y,ARGANDA DEL REY,401842N,032952W,533
MADRID,3175,TORREJÓN DE ARDOZ,402919N,032637W,607
MADRID,3191E,COLMENAR VIEJO,404146N,034554W,1004
MADRID,3194Y,POZUELO DE ALARCÓN,402654N,034848W,665
MADRID,3194U,"MADRID, CIUDAD UNIVERSITARIA",402706N,034327W,664
MADRID,3196,"MADRID, CUATRO VIENTOS",402232N,034710W,690
MADRID,3200,GETAFE,401758N,034320W,620
MADRID,3195,"MADRID, RETIRO",402443N,034041W,667
TOLEDO,3245Y,TEMBLEQUE,394146N,033021W,635
MADRID,3229Y,TIELMES,401450N,031842W,594
GUADALAJARA,3209Y,BRIHUEGA,404555N,025227W,835
TOLEDO,3254Y,MORA ,394113N,034650W,717
TOLEDO,3259,"TOLEDO, LORENZANA",395134N,040132W,540
TOLEDO,3260B,TOLEDO,395305N,040243W,513
MADRID,3266A,PUERTO ALTO DEL LEÓN,404223N,040831W,1532
TOLEDO,3298X,SAN PABLO DE LOS MONTES,393249N,042102W,917
MADRID,3268C,ALPEDRETE,403935N,040103W,924
MADRID,3338,ROBLEDO DE CHAVELA,402540N,041460W,763
MADRID,3330Y,ROZAS DE PUERTO REAL,401847N,042914W,890
TOLEDO,3305Y,NAVAHERMOSA,393750N,042837W,750
AVILA,3319D,PUERTO DEL PICO,402023N,050046W,1285
AVILA,3337U,CEBREROS,402803N,042721W,850
TOLEDO,3362Y,CASTILLO DE BAYUELA,400630N,044050W,560
MADRID,3343Y,VALDEMORILLO,402948N,040340W,884
CACERES,3386A,NAVALVILLAR DE IBOR,393530N,052330W,923
TOLEDO,3365A,TALAVERA DE LA REINA,395731N,045149W,372
CACERES,3423I,MADRIGAL DE LA VERA,400914N,052224W,464
TOLEDO,3427Y,OROPESA,395936N,050652W,345
AVILA,3391,SOTILLO DE LA ADRADA,401719N,043527W,630
AVILA,3422D,CANDELEDA,400821N,051841W,350
CACERES,3448X,SERRADILLA,394915N,060739W,406
CACERES,3434X,NAVALMORAL DE LA MATA,395645N,053457W,269
CACERES,3436D,GARGANTA LA OLLA,400640N,054705W,690
CACERES,3463Y,TRUJILLO,392751N,055227W,523
CACERES,3469,"CÁCERES, CIUDAD",392833N,062235W,459
CACERES,3455X,JARAICEJO,394012N,054830W,559
CACERES,3463X,TRUJILLO,392857N,055115W,503
CACERES,3475X,CAÑAVERAL,394726N,062235W,373
CACERES,3469A,CÁCERES,392817N,062020W,394
CACERES,3504X,HERVÁS,401554N,055140W,724
CACERES,3503,GUIJO DE GRANADILLA,401122N,061003W,393
CACERES,3512X,MONTEHERMOSO,400451N,062020W,351
CACERES,3494U,NUÑOMORAL,402429N,061423W,470
CACERES,3516X,PIORNAL,400715N,054957W,1260
CACERES,3514B,TORNAVACAS,401531N,054042W,991
CACERES,3519X,PLASENCIA,400235N,060509W,415
CACERES,3531X,TORRECILLA DE LOS ANGELES,401518N,062442W,459
CACERES,3526X,CORIA,400013N,063327W,313
CACERES,3536X,HOYOS,401029N,064328W,560
CACERES,3540X,ZARZA LA MAYOR,395217N,065136W,336
CACERES,3547X,VALVERDE DEL FRESNO,401226N,065346W,450
CACERES,3562X,ALISEDA,392539N,064411W,321
CACERES,3565X,BROZAS,393705N,064442W,425
CACERES,3576X,VALENCIA DE ALCÁNTARA,392453N,071352W,444
CIUDAD REAL,4064Y,ALCAZAR DE SAN JUAN,392327N,031257W,640
TOLEDO,4061X,QUINTANAR DE LA ORDEN,393550N,030254W,692
CUENCA,4051Y,ALCÁZAR DEL REY,400340N,024825W,875
ALBACETE,4007Y,OSSA DE MONTIEL,385757N,024442W,905
CUENCA,4089A,ALBERCA DE ZANCARA,393101N,022945W,858
TOLEDO,4067,MADRIDEJOS,392931N,033142W,690
CUENCA,4070Y,ABIA DE OBISPALIA,400108N,022343W,1020
CUENCA,4075Y,VILLARES DEL SAZ,395025N,023012W,870
CUENCA,4093Y,OSA DE LA VEGA ,393922N,024536W,763
CUENCA,4090Y,SAN CLEMENTE,392500N,022514W,728
ALBACETE,4091Y,VILLARROBLEDO,391543N,023533W,718
CIUDAD REAL,4116I,ALMAGRO / FAMET,385703N,034431W,626
ALBACETE,4096Y,MUNERA,390060N,022920W,918
CIUDAD REAL,4103X,TOMELLOSO,391009N,030027W,662
CUENCA,4095Y,BELMONTE,393319N,024220W,745
CIUDAD REAL,4121C,"CIUDAD REAL, INSTITUTO",385916N,035545W,627
CIUDAD REAL,4138Y,VILLANUEVA DE LOS INFANTES,384415N,030016W,900
CIUDAD REAL,4147X,VALDEPEÑAS,384502N,032329W,700
CIUDAD REAL,4121,CIUDAD REAL,385921N,035513W,626
CIUDAD REAL,4148,VISO DEL MARQUÉS,383105N,033400W,804
CIUDAD REAL,4193Y,EL ROBLEDO,391301N,041658W,587
CIUDAD REAL,4195E,"ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS",391915N,042342W,651
CIUDAD REAL,4210Y,ABENÓJAR,385353N,041731W,718
CIUDAD REAL,4220X,PUEBLA DE DON RODRIGO,390501N,043719W,531
CACERES,4236Y,PUERTO REY ,392702N,050135W,689
BADAJOZ,4260,PERALEDA DEL ZAUCEJO,382847N,053439W,542
CACERES,4245X,GUADALUPE,392719N,051960W,660
BADAJOZ,4244X,HERRERA DEL DUQUE,391010N,050344W,447
CORDOBA,4263X,VALSEQUILLO,382434N,052102W,575
CIUDAD REAL,4300Y,ALMADÉN,384631N,045043W,535
CORDOBA,4267X,HINOJOSA DEL DUQUE,382954N,050717W,551
BADAJOZ,4325Y,CASTUERA,384431N,053145W,459
CACERES,4339X,CAÑAMERO,391851N,052208W,590
BADAJOZ,4340,NAVALVILLAR DE PELA,390612N,052741W,313
CACERES,4347X,ZORITA,391658N,054237W,413
BADAJOZ,4386B,LLERENA,381354N,060101W,655
BADAJOZ,4395X,VILLAFRANCA DE LOS BARROS,383306N,061824W,430
BADAJOZ,4362X,RETAMAL DE LLERENA,383435N,055045W,474
BADAJOZ,4358X,DON BENITO,385720N,055250W,274
CACERES,4411C,ALCUESCAR,391151N,061352W,467
BADAJOZ,4410X,MÉRIDA,385457N,062308W,228
BADAJOZ,4436Y,ALMENDRALEJO,384120N,062140W,371
BADAJOZ,4427X,ZAFRA,382533N,062612W,433
BADAJOZ,4468X,PUEBLA DE OBANDO,391036N,063603W,392
BADAJOZ,4464X,ALBURQUERQUE,391055N,065943W,283
BADAJOZ,4478X,BADAJOZ,385310N,070034W,174
BADAJOZ,4452,BADAJOZ AEROPUERTO,385300N,064850W,186
BADAJOZ,4489X,ALCONCHEL,382905N,071655W,170
BADAJOZ,4486X,OLIVENZA,384151N,070504W,275
BADAJOZ,4492F,BARCARROTA,382822N,065524W,377
BADAJOZ,4497X,VILLANUEVA DEL FRESNO,382220N,070929W,247
BADAJOZ,4501X,FUENTE DE CANTOS,381231N,061841W,602
BADAJOZ,4499X,MONESTERIO,380453N,061619W,771
BADAJOZ,4511C,JEREZ DE LOS CABALLEROS,381755N,064554W,381
BADAJOZ,4520X,FREGENAL DE LA SIERRA,381042N,063942W,586
HUELVA,4527X,AROCHE,375849N,065833W,267
HUELVA,4541X,EL GRANADO,373313N,073112W,60
HUELVA,4549Y,AYAMONTE,371141N,072342W,3
HUELVA,4554X,CARTAYA,371306N,070501W,15
HUELVA,4584X,EL CERRO DE ANDÉVALO,374354N,065632W,270
HUELVA,4560Y,ALAJAR,375207N,064030W,572
HUELVA,4575X,VALVERDE DEL CAMINO,373431N,064604W,280
HUELVA,4589X,"ALOSNO, THARSIS",373552N,070710W,276
HUELVA,4642E,"HUELVA, RONDA ESTE",371642N,065442W,18
HUELVA,4608X,EL CAMPILLO,374038N,063748W,415
HUELVA,4605,HUELVA,371524N,065659W,17
HUELVA,4622X,VILLARRASA,372703N,063812W,145
CEUTA,5000C,CEUTA,355319N,052049W,87
JAEN,5038X,CAZORLA,375457N,030014W,782
JAEN,5038Y,CAZORLA,375457N,030014W,799
CEUTA,5000A,"CEUTA, MONTE HACHO",355344N,051732W,200
ALMERIA,5060X,VÉLEZ BLANCO - TOPARES,375139N,021341W,1190
GRANADA,5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",370930N,031525W,2152
GRANADA,5051X,HUÉSCAR,375141N,023910W,1100
GRANADA,5047E,BAZA,373021N,024406W,785
GRANADA,5107D,DÓLAR,371048N,025911W,1197
GRANADA,5103F,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA",371128N,031514W,1534
JAEN,5164B,BAEZA,375948N,032743W,771
JAEN,5165X,TORRES,374651N,033349W,910
JAEN,5181D,ARROYO DEL OJANCO,381853N,025323W,580
JAEN,5192,VILLARRODRIGO,382921N,023815W,862
JAEN,5246,SANTA ELENA,382040N,033207W,770
JAEN,5210X,VILLANUEVA DEL ARZOBISPO,381030N,025953W,680
JAEN,5279X,LINARES,380904N,033746W,515
JAEN,5270,"JAÉN, INSTITUTO",374635N,034720W,510
JAEN,5281X,BAILÉN,380535N,034657W,345
JAEN,5270B,JAÉN,374639N,034833W,580
JAEN,5298X,ANDÚJAR,380123N,040348W,202
CIUDAD REAL,5341C,FUENCALIENTE,382544N,041806W,710
CIUDAD REAL,5304Y,PUERTOLLANO,384008N,040333W,665
CORDOBA,5361X,MONTORO,380048N,041949W,155
CORDOBA,5390Y,VILLANUEVA DE CÓRDOBA,381959N,043632W,750
CORDOBA,5346X,CARDEÑA,381112N,041621W,720
JAEN,5406X,ALCALÁ LA REAL,372951N,035429W,908
CORDOBA,5394X,"CÓRDOBA, EMBALSE DE GUADANUÑO",380115N,044748W,525
CORDOBA,5402,CÓRDOBA AEROPUERTO,375056N,045048W,90
CORDOBA,5412X,PRIEGO DE CÓRDOBA,372905N,041228W,550
CORDOBA,5429X,"CÓRDOBA, PRÁGDENA",374837N,042744W,275
CORDOBA,5427X,DOÑA MENCÍA,373322N,042114W,650
GRANADA,5511,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA",370352N,032217W,3092
BADAJOZ,5473X,AZUAGA,381604N,054110W,581
CORDOBA,5459X,ESPIEL,380640N,045543W,465
CORDOBA,5470,FUENTE PALMERA,374511N,050602W,120
GRANADA,5515D,VÍZNAR,371413N,033302W,1258
GRANADA,5514,GRANADA BASE AÉREA,370814N,033753W,687
GRANADA,5514Z,GRANADA BASE AÉREA,370810N,033800W,695
GRANADA,5515X,GRANADA-CARTUJA,371123N,033544W,775
GRANADA,5582A,LOJA,370940N,040910W,760
GRANADA,5516D,SIERRA NEVADA 'RADIOTELESCOPIO',370347N,032313W,2856
GRANADA,5530E,GRANADA AEROPUERTO,371125N,034723W,560
SEVILLA,5612B,LA RODA DE ANDALUCÍA,371140N,044612W,410
CORDOBA,5598X,BENAMEJÍ,371351N,043252W,465
SEVILLA,5612X,LORA DE ESTEPA,371613N,044937W,450
CORDOBA,5624X,AGUILAR DE LA FRONTERA,372855N,044109W,309
SEVILLA,5656,FUENTES DE ANDALUCÍA,372950N,052559W,165
CORDOBA,5625X,LA RAMBLA,373819N,044550W,200
SEVILLA,5641X,ÉCIJA,373058N,050506W,130
SEVILLA,5654X,LA PUEBLA DE LOS INFANTES,374712N,052216W,200
SEVILLA,5726X,GUADALCANAL,380558N,054909W,720
SEVILLA,5702X,CARMONA,373356N,054426W,50
SEVILLA,5704B,CAZALLA DE LA SIERRA,375535N,054611W,550
SEVILLA,5733X,ALMADÉN DE LA PLATA,374728N,060430W,450
SEVILLA,5783,SEVILLA AEROPUERTO,372500N,055245W,34
HUELVA,5769X,CALA,375825N,061920W,618
SEVILLA,5788X,"TOMARES, ZAUDÍN",372142N,060335W,84
SEVILLA,5790Y,"SEVILLA, TABLADA",372151N,060021W,9
SEVILLA,5835X,CARRIÓN DE LOS CÉSPEDES,372136N,062003W,76
SEVILLA,5796,MORÓN DE LA FRONTERA,370952N,053641W,87
HUELVA,5860E,"MOGUER, EL ARENOSILLO",370553N,064417W,41
HUELVA,5858X,ALMONTE,365919N,062635W,5
SEVILLA,5891X,LAS CABEZAS DE SAN JUAN,365712N,055048W,105
CADIZ,5906X,CHIPIONA,364500N,062402W,10
CADIZ,5919X,OLVERA,365554N,051534W,530
CADIZ,5910,"ROTA, BASE NAVAL",363820N,061957W,21
CADIZ,5911A,GRAZALEMA,364538N,052227W,913
CADIZ,5950X,SAN JOSÉ DEL VALLE,363950N,054660W,105
CADIZ,5960,JEREZ DE LA FRONTERA AEROPUERTO,364502N,060321W,27
CADIZ,5941X,EL BOSQUE,364346N,053044W,295
CADIZ,5983X,MEDINA SIDONIA,362422N,055513W,70
CADIZ,5973,CÁDIZ,362959N,061528W,2
CADIZ,5972X,SAN FERNANDO,362756N,061220W,28
CADIZ,5995B,VEJER DE LA FRONTERA,361444N,055754W,186
CADIZ,5996B,BARBATE,361105N,055434W,4
CADIZ,6001,TARIFA,360050N,053556W,32
SEVILLA,5998X,OSUNA,371436N,050645W,255
MELILLA,6000A,MELILLA,351635N,025723W,52
MALAGA,6032X,RONDA INSTITUTO,364460N,051007W,760
MALAGA,6032B,RONDA,364459N,051006W,766
MALAGA,6040X,CORTES DE LA FRONTERA,363240N,052311W,315
MALAGA,6045X,ALPANDEIRE,363757N,051211W,676
MALAGA,6050X,GAUCÍN,363107N,051907W,594
CADIZ,6042I,JIMENA DE LA FRONTERA,362608N,052342W,42
CADIZ,6056X,SAN ROQUE  ,361623N,051704W,1
MALAGA,6057X,MANILVA,362242N,051536W,140
MALAGA,6058I,ESTEPONA,362501N,050918W,19
MALAGA,6083X,MARBELLA,362860N,044425W,2
MALAGA,6069X,BENAHAVÍS,363237N,050129W,392
MALAGA,6076X,"MARBELLA, PUERTO",362904N,045711W,2
MALAGA,6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),370126N,043345W,515
MALAGA,6084X,FUENGIROLA,363219N,043706W,8
MALAGA,6088X,TORREMOLINOS,363714N,043054W,85
MALAGA,6127X,ÁLORA,365117N,044148W,172
MALAGA,6143X,COÍN,363928N,044539W,230
MALAGA,6106X,ANTEQUERA,370146N,044454W,408
MALAGA,6155A,MÁLAGA AEROPUERTO,363958N,042856W,7
MALAGA,6172O,"MÁLAGA, PUERTO",364260N,042511W,25
MALAGA,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",364304N,042854W,54
MALAGA,6199X,VÉLEZ-MÁLAGA,364607N,040537W,41
MALAGA,6201X,ALGARROBO,364521N,040238W,35
MALAGA,6175X,RINCÓN DE LA VICTORIA,364254N,041710W,7
MALAGA,6172X,MÁLAGA,364260N,042511W,25
MALAGA,6213X,NERJA,364546N,035043W,169
MALAGA,6205X,TORROX,364335N,035726W,3
GRANADA,6267X,SALOBREÑA,364454N,033443W,20
GRANADA,6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",365708N,032549W,1732
GRANADA,6258X,LANJARÓN,365523N,032933W,708
GRANADA,6272X,CASTELL DE FERRO,364403N,032248W,235
GRANADA,6268Y,"MOTRIL, PUERTO",364326N,033145W,3
GRANADA,6268X,MOTRIL,364322N,033149W,12
ALMERIA,6277B,ADRA,364450N,030114W,8
ALMERIA,6291B,EL EJIDO,364629N,024847W,98
GRANADA,6281X,VÁLOR,370019N,030417W,1020
ALMERIA,6293X,ROQUETAS DE MAR,364113N,024206W,3
GRANADA,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",370545N,025752W,2300
ALMERIA,6297,ALMERÍA,364952N,022720W,7
ALMERIA,6312E,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA",370115N,024038W,601
ALMERIA,6302A,ABLA,370829N,024648W,869
ALMERIA,6307X,LÁUJAR DE ANDARAX,370160N,025445W,1510
ALMERIA,6307C,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA",370311N,025350W,1713
ALMERIA,6332X,CARBONERAS,365849N,015413W,16
ALMERIA,6329X,CABO DE GATA,364319N,021135W,42
ALMERIA,6325O,ALMERÍA AEROPUERTO,365047N,022125W,21
ALMERIA,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",370636N,024157W,970
ALMERIA,6332Y,CARBONERAS,365632N,015425W,222
MALAGA,6375X,FUENTE DE PIEDRA,370756N,044431W,420
ALMERIA,6340X,"GARRUCHA, PUERTO",371044N,014860W,7
ALMERIA,6364X,ALBOX,372424N,020905W,508
ALMERIA,6367B,HUÉRCAL-OVERA,372326N,015637W,300
MURCIA,7002Y,ÁGUILAS,372502N,013513W,32
MURCIA,7012C,CARTAGENA,373604N,005916W,17
ALMERIA,6381,ALBORÁN,355618N,030210W,15
MURCIA,7007Y,MAZARRÓN,373517N,011350W,66
MURCIA,7019X,CARTAGENA/SALINAS CABO PALOS,373809N,004256W,3
MURCIA,7012D,CARTAGENA,373616N,010124W,56
MURCIA,7026X,TORRE-PACHECO,374420N,005803W,50
MURCIA,7020C,MURCIA AEROPUERTO,374827N,010741W,205
MURCIA,7023X,FUENTE ÁLAMO DE MURCIA,374335N,011002W,140
MURCIA,7031,SAN JAVIER AEROPUERTO,374720N,004812W,4
ALBACETE,7066Y,"YESTE, EMBALSE FUENSANTA",382336N,021308W,680
MURCIA,7031X,SAN JAVIER AEROPUERTO,374642N,004821W,4
ALBACETE,7067Y,NERPIO,380518N,022447W,1485
ALBACETE,7096B,HELLÍN,383231N,014211W,605
ALBACETE,7103Y,TOBARRA,383517N,014122W,615
MURCIA,7080X,MORATALLA,381606N,015911W,955
ALBACETE,7072Y,YESTE,381742N,021738W,960
MURCIA,7121A,CALASPARRA,381403N,014208W,350
MURCIA,7119B,CARAVACA DE LA CRUZ,380611N,015238W,643
MURCIA,7127X,BULLAS,380257N,014143W,690
MURCIA,7138B,JUMILLA,382732N,012007W,485
MURCIA,7145D,CIEZA,381358N,012250W,265
MURCIA,7158X,ARCHENA,380741N,011821W,150
MURCIA,7178I,MURCIA,380007N,011015W,62
MURCIA,7172X,MULA,380229N,012657W,255
MURCIA,7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",375534N,020330W,985
MURCIA,7203A,"LORCA, ZARCILLA DE RAMOS",375041N,015211W,646
MURCIA,7209,LORCA,373917N,014114W,312
MURCIA,7211B,PUERTO LUMBRERAS,373405N,014750W,445
MURCIA,7227X,ALHAMA DE MURCIA,375142N,012005W,157
MURCIA,7228,"ALCANTARILLA, BASE AÉREA",375728N,011343W,75
MURCIA,7237E,MOLINA DE SEGURA,380820N,010931W,170
MURCIA,7218Y,TOTANA,374531N,013046W,281
ALICANTE,7244X,ORIHUELA,380404N,005853W,26
ALICANTE,7247X,EL PINÓS/PINOSO,382359N,010217W,575
MURCIA,7250C,ABANILLA,381140N,010202W,174
ALICANTE,7261X,ROJALES,380517N,004255W,31
MURCIA,7275C,YECLA,383606N,010935W,640
ALICANTE,8008Y,VILLENA,383437N,005156W,486
VALENCIA,8005X,FONTANARS DELS ALFORINS,384648N,004745W,622
ALICANTE,8018X,ELX/ELCHE,381715N,004050W,110
ALICANTE,8019,ALICANTE-ELCHE AEROPUERTO,381658N,003415W,43
ALICANTE,8013X,NOVELDA,382308N,004528W,233
ALICANTE,8036Y,BENIDORM,383237N,000816W,36
ALICANTE,8057C,PEGO,385048N,000706W,60
ALICANTE,8050X,JÁVEA/ XÀBIA,384703N,001000E,15
ALICANTE,8025,ALACANT/ALICANTE,382221N,002939W,81
VALENCIA,8058Y,MIRAMAR,385701N,000816W,12
VALENCIA,8058X,OLIVA,385544N,000545W,5
ALICANTE,8059C,ALCOI/ALCOY,384239N,002736W,530
VALENCIA,8072Y,BARX,390101N,001817W,340
CUENCA,8155Y,MOTILLA DEL PALANCAR,393319N,015455W,830
CUENCA,8096,CUENCA,400402N,020755W,949
CUENCA,8084Y,PANTANO DE LA TOBA (AUTOMATICA),401321N,015533W,1154
ALBACETE,8175,ALBACETE BASE AÉREA,385715N,015123W,702
ALBACETE,8178D,ALBACETE,390020N,015144W,674
ALBACETE,8177A,CHINCHILLA,385615N,013932W,880
VALENCIA,8193E,JALANCE,391230N,010540W,372
ALBACETE,8198Y,ALMANSA,385102N,010347W,710
VALENCIA,8203O,ZARRA,390458N,010603W,855
CUENCA,8245Y,MIRA,394252N,012633W,815
CUENCA,8210Y,SALVACAÑETE,400611N,013013W,1160
VALENCIA,8270X,BICORP,390801N,004724W,305
VALENCIA,8283X,ONTINYENT,384946N,003628W,350
VALENCIA,8293X,XÀTIVA,390006N,003123W,88
VALENCIA,8300X,CARCAIXENT,390648N,002645W,25
VALENCIA,8325X,POLINYÀ DE XÚQUER,391105N,002219W,12
VALENCIA,8309X,UTIEL,393432N,011441W,758
TERUEL,8354X,ALBARRACÍN,402511N,012629W,1130
VALENCIA,8337X,TURÍS,392332N,003729W,186
TERUEL,8368U,TERUEL,402103N,010727W,902
TERUEL,8376,JABALOYAS,401410N,012442W,1430
VALENCIA,8381X,ADEMUZ,400338N,011701W,705
VALENCIA,8409X,LLÍRIA,393950N,003914W,198
VALENCIA,8414A,VALENCIA AEROPUERTO,392906N,002829W,56
VALENCIA,8395X,CHELVA,394512N,005937W,515
VALENCIA,8416Y,"VALÈNCIA, VIVEROS",392850N,002159W,11
CASTELLON,8439X,SEGORBE,394744N,002907W,400
VALENCIA,8416,VALÈNCIA,392850N,002159W,11
VALENCIA,8446Y,SAGUNT/SAGUNTO,394203N,001532W,24
VALENCIA,8416X,"VALENCIA, UPV",392846N,002014W,6
TERUEL,8458X,CEDRILLAS,402550N,005058W,1380
TERUEL,8486X,MOSQUERUELA,402145N,002716W,1515
CASTELLON,8489X,VILLAFRANCA DEL CID/VILAFRANCA,402600N,001520W,1130
CASTELLON,8472A,MONTANEJOS,400516N,003249W,601
CASTELLON,8492X,ATZENETA DEL MAESTRAT,401338N,001011W,420
CASTELLON,8503Y,TORREBLANCA,401241N,001101E,35
CASTELLON,8501,CASTELLÓ DE LA PLANA,395921N,000156W,23
CASTELLON,8500A,CASTELLÓ - ALMASSORA,395726N,000419W,43
CANTABRIA,9001S,ALTO CAMPOO,430212N,042228W,1650
CANTABRIA,9001D,REINOSA,425931N,040938W,870
CASTELLON,8520X,LA POBLA DE BENIFASSÀ-FREDES,404137N,000955E,1165
CASTELLON,8523X,VINARÒS,403315N,002547E,111
